SourceSite;TravelTime in sec;DestinationSite
STO_005;1346;STO_022
STO_005;756;STO_023
STO_005;2413;STO_024
STO_005;1675;STO_025
STO_005;1986;STO_026
STO_005;520;STO_027
STO_005;2422;STO_028
STO_005;2156;STO_029
STO_005;1960;STO_030
STO_005;1569;STO_031
STO_005;2593;STO_032
STO_005;67;STO_033
STO_005;855;STO_034
STO_005;978;STO_035
STO_005;2152;STO_036
STO_005;1538;STO_037
STO_005;2527;STO_038
STO_005;692;STO_039
STO_005;1551;STO_040
STO_005;2117;STO_041
STO_005;1366;STO_042
STO_005;2231;STO_043
STO_005;1285;STO_044
STO_005;567;STO_045
STO_005;2548;STO_046
STO_005;1825;STO_047
STO_005;1514;STO_048
STO_006;1620;HUB_001
STO_006;1310;STO_002
STO_006;2295;STO_003
STO_006;746;STO_004
STO_006;799;STO_005
STO_006;0;STO_006
STO_006;604;STO_007
STO_006;2081;STO_008
STO_006;680;STO_009
STO_006;1261;STO_010
STO_006;2254;STO_011
STO_006;1434;STO_012
STO_006;1475;STO_013
STO_006;2345;STO_014
STO_006;2489;STO_015
STO_006;799;STO_016
STO_006;1347;STO_017
STO_006;717;STO_018
STO_006;1290;STO_019
STO_006;875;STO_020
STO_006;560;STO_021
STO_006;1026;STO_022
STO_006;1266;STO_023
STO_006;1648;STO_024
STO_006;1944;STO_025
STO_006;2043;STO_026
STO_006;1076;STO_027
STO_006;1870;STO_028
STO_006;2759;STO_029
STO_006;2123;STO_030
STO_006;1563;STO_031
STO_006;1797;STO_032
STO_006;858;STO_033
STO_006;623;STO_034
STO_006;196;STO_035
STO_006;2220;STO_036
STO_006;1145;STO_037
STO_006;1735;STO_038
STO_006;832;STO_039
STO_006;1197;STO_040
STO_006;1906;STO_041
STO_006;952;STO_042
STO_006;1730;STO_043
STO_006;1360;STO_044
STO_006;523;STO_045
STO_006;1803;STO_046
STO_006;1094;STO_047
STO_006;1115;STO_048
STO_007;1837;HUB_001
STO_007;1898;STO_002
STO_007;2368;STO_003
STO_007;961;STO_004
STO_007;359;STO_005
STO_007;604;STO_006
STO_007;0;STO_007
STO_007;2670;STO_008
STO_007;1271;STO_009
STO_007;907;STO_010
STO_007;1654;STO_011
STO_007;1384;STO_012
STO_007;886;STO_013
STO_007;1754;STO_014
STO_007;2623;STO_015
STO_007;1341;STO_016
STO_007;1236;STO_017
STO_007;1023;STO_018
STO_007;1788;STO_019
STO_007;1004;STO_020
STO_007;1137;STO_021
STO_007;1423;STO_022
STO_007;676;STO_023
STO_007;2252;STO_024
STO_007;1973;STO_025
STO_007;1712;STO_026
STO_007;856;STO_027
STO_007;2064;STO_028
STO_007;2166;STO_029
STO_007;1724;STO_030
STO_007;1778;STO_031
STO_007;2379;STO_032
STO_007;381;STO_033
STO_007;926;STO_034
STO_007;801;STO_035
STO_007;1884;STO_036
STO_007;1592;STO_037
STO_007;2260;STO_038
STO_007;896;STO_039
STO_007;1192;STO_040
STO_007;1779;STO_041
STO_007;1403;STO_042
STO_007;1872;STO_043
STO_007;1513;STO_044
STO_007;651;STO_045
STO_007;2236;STO_046
STO_007;1696;STO_047
STO_007;1564;STO_048
STO_008;2001;HUB_001
STO_008;772;STO_002
STO_008;2699;STO_003
STO_008;2379;STO_004
STO_008;2870;STO_005
STO_008;2081;STO_006
STO_008;2670;STO_007
STO_008;0;STO_008
STO_008;1401;STO_009
STO_008;3253;STO_010
STO_008;4323;STO_011
STO_008;3084;STO_012
STO_008;3554;STO_013
STO_008;4321;STO_014
STO_008;2623;STO_015
STO_008;1672;STO_016
STO_008;2651;STO_017
