SourceSite;TravelTime in sec;DestinationSite
STO_639;3114;STO_666
STO_639;3406;STO_631
STO_639;5352;STO_736
STO_639;3931;STO_695
STO_639;6674;STO_717
STO_639;6835;STO_699
STO_639;6597;STO_718
STO_687;5876;STO_035
