"Pseudonym";"Delivery days";"ServiceTimeFrom";"ServiceTimeTo"
"STO_123";"Mo-Sa";"06:15";"20:00"
"STO_124";"Mo-Sa";"06:00";"20:00"
"STO_125";"Mo-Sa";"06:00";"22:00"
"STO_126";"Mo-Sa";"05:30";"21:30"
"STO_127";"Mo-Sa";"01:00";"00:00"
"STO_128";"Mo-Sa";"01:00";"00:00"
"STO_129";"Mo-Sa";"01:00";"00:00"
"STO_130";"Mo-Sa";"01:00";"00:00"
"STO_131";"Mo-Sa";"06:00";"22:00"
"STO_132";"Mo-Sa";"01:00";"00:00"
"STO_133";"Mo-Sa";"06:00";"22:00"
"STO_134";"Mo-Sa";"01:00";"00:00"
"STO_135";"Mo-Sa";"07:00";"20:00"
"STO_136";"Mo-Sa";"22:00";"00:00"
"STO_137";"Mo-Sa";"01:00";"00:00"
"STO_138";"Mo-Sa";"01:00";"00:00"
"STO_139";"Mo-Sa";"01:00";"00:00"
"STO_140";"Mo-Sa";"01:00";"00:00"
"STO_141";"Mo-Sa";"06:15";"22:00"
"STO_142";"Mo-Sa";"06:00";"22:00"
"STO_143";"Mo-Sa";"07:00";"22:00"
"STO_144";"Mo-Sa";"01:00";"00:00"
"STO_145";"Mo-Sa";"01:00";"00:00"
"STO_146";"Mo-Sa";"07:00";"20:00"
"STO_147";"Mo-Sa";"01:00";"00:00"
"STO_148";"Mo-Sa";"01:00";"00:00"
"STO_149";"Mo-Sa";"01:00";"00:00"
"STO_150";"Mo-Sa";"01:00";"00:00"
"STO_151";"Mo-Sa";"01:00";"00:00"
"STO_152";"Mo-Sa";"01:00";"00:00"
"STO_153";"Mo-Sa";"07:00";"19:00"
"STO_154";"Mo-Sa";"01:00";"00:00"
"STO_155";"Mo-Sa";"06:00";"22:00"
"STO_156";"Mo-Sa";"06:00";"20:00"
"STO_157";"Mo-Sa";"01:00";"00:00"
"STO_158";"Mo-Sa";"06:00";"22:00"
"STO_159";"Mo-Sa";"01:00";"00:00"
"STO_160";"Mo-Sa";"01:00";"00:00"
"STO_161";"Mo-Sa";"01:00";"00:00"
"STO_162";"Mo-Sa";"06:00";"08:00"
"STO_163";"Mo-Sa";"06:00";"22:00"
"STO_164";"Mo-Sa";"06:00";"22:00"
"STO_165";"Mo-Sa";"01:00";"00:00"
"STO_166";"Mo-Sa";"01:00";"00:00"
"STO_167";"Mo-Sa";"01:00";"00:00"
"STO_168";"Mo-Sa";"06:00";"22:00"
"STO_169";"Mo-Sa";"06:00";"22:00"
"STO_170";"Mo-Sa";"01:00";"00:00"
"STO_171";"Mo-Sa";"06:00";"22:00"
"STO_172";"Mo-Sa";"01:00";"00:00"
"STO_173";"Mo-Sa";"01:00";"00:00"
"STO_174";"Mo-Sa";"06:00";"22:00"
"STO_175";"Mo-Sa";"06:00";"22:00"
"STO_176";"Mo-Sa";"06:00";"22:00"
"STO_177";"Mo-Sa";"01:00";"00:00"
"STO_178";"Mo-Sa";"06:00";"22:00"
"STO_179";"Mo-Sa";"01:00";"00:00"
"STO_180";"Mo-Sa";"01:00";"00:00"
"STO_181";"Mo-Sa";"01:00";"00:00"
"STO_182";"Mo-Sa";"01:00";"00:00"
"STO_183";"Mo-Sa";"01:00";"00:00"
"STO_184";"Mo-Sa";"01:00";"00:00"
"STO_185";"Mo-Sa";"01:00";"00:00"
"STO_186";"Mo-Sa";"01:00";"00:00"
"STO_187";"Mo-Sa";"06:00";"22:00"
"STO_188";"Mo-Sa";"01:00";"00:00"
"STO_189";"Mo-Sa";"06:00";"22:00"
"STO_190";"Mo-Sa";"06:00";"22:00"
"STO_191";"Mo-Sa";"01:00";"00:00"
"STO_192";"Mo-Sa";"01:00";"00:00"
"STO_193";"Mo-Sa";"06:00";"22:00"
"STO_194";"Mo-Sa";"06:00";"08:00"
"STO_195";"Mo-Sa";"01:00";"00:00"
"STO_196";"Mo-Sa";"07:00";"20:00"
"STO_197";"Mo-Sa";"07:00";"20:00"
"STO_198";"Mo-Sa";"01:00";"00:00"
"STO_199";"Mo-Sa";"06:00";"22:00"
"STO_200";"Mo-Sa";"01:00";"00:00"
"STO_201";"Mo-Sa";"01:00";"00:00"
"STO_202";"Mo-Sa";"01:00";"00:00"
"STO_203";"Mo-Sa";"01:00";"00:00"
"STO_204";"Mo-Sa";"01:00";"00:00"
"STO_205";"Mo-Sa";"01:00";"00:00"
"STO_206";"Mo-Sa";"06:00";"22:00"
"STO_207";"Mo-Sa";"01:00";"00:00"
"STO_208";"Mo-Sa";"06:00";"22:00"
"STO_209";"Mo-Sa";"01:00";"00:00"
"STO_210";"Mo-Sa";"01:00";"00:00"
"STO_211";"Mo-Sa";"01:00";"00:00"
"STO_212";"Mo-Sa";"01:00";"00:00"
"STO_213";"Mo-Sa";"01:00";"00:00"
"STO_214";"Mo-Sa";"01:00";"00:00"
"STO_215";"Mo-Sa";"01:00";"00:00"
"STO_216";"Mo-Sa";"01:00";"00:00"
"STO_217";"Mo-Sa";"01:00";"00:00"
"STO_218";"Mo-Sa";"01:00";"00:00"
"STO_219";"Mo-Sa";"01:00";"00:00"
"STO_220";"Mo-Sa";"06:00";"22:00"
"STO_221";"Mo-Sa";"01:00";"00:00"
"STO_222";"Mo-Sa";"06:00";"22:00"
"STO_223";"Mo-Sa";"06:00";"22:00"
"STO_224";"Mo-Sa";"01:00";"00:00"
"STO_225";"Mo-Sa";"01:00";"00:00"
"STO_226";"Mo-Sa";"01:00";"00:00"
"STO_227";"Mo-Sa";"01:00";"00:00"
"STO_228";"Mo-Sa";"01:00";"00:00"
"STO_229";"Mo-Sa";"01:00";"00:00"
"STO_230";"Mo-Sa";"01:00";"00:00"
"STO_231";"Mo-Sa";"01:00";"00:00"
"STO_232";"Mo-Sa";"01:00";"00:00"
"STO_233";"Mo-Sa";"01:00";"00:00"
"STO_234";"Mo-Sa";"01:00";"00:00"
"STO_235";"Mo-Sa";"01:00";"00:00"
"STO_236";"Mo-Sa";"01:00";"00:00"
"STO_237";"Mo-Sa";"01:00";"00:00"
"STO_238";"Mo-Sa";"01:00";"00:00"
"STO_239";"Mo-Sa";"01:00";"00:00"
"STO_240";"Mo-Sa";"01:00";"00:00"
"STO_241";"Mo-Sa";"01:00";"00:00"
"STO_242";"Mo-Sa";"01:00";"00:00"
"STO_243";"Mo-Sa";"01:00";"00:00"
"STO_244";"Mo-Sa";"06:00";"22:00"
"STO_245";"Mo-Sa";"01:00";"00:00"
"STO_246";"Mo-Sa";"07:00";"21:00"
"STO_247";"Mo-Sa";"01:00";"00:00"
"STO_248";"Mo-Sa";"01:00";"00:00"
"STO_249";"Mo-Sa";"01:00";"00:00"
"STO_250";"Mo-Sa";"06:00";"22:00"
"STO_251";"Mo-Sa";"01:00";"00:00"
"STO_252";"Mo-Sa";"01:00";"00:00"
"STO_253";"Mo-Sa";"01:00";"00:00"
"STO_254";"Mo-Sa";"01:00";"00:00"
"STO_255";"Mo-Sa";"01:00";"00:00"
"STO_256";"Mo-Sa";"01:00";"00:00"
"STO_257";"Mo-Sa";"06:00";"22:00"
"STO_258";"Mo-Sa";"06:00";"22:00"
"STO_259";"Mo-Sa";"01:00";"00:00"
"STO_260";"Mo-Sa";"01:00";"00:00"
"STO_261";"Mo-Sa";"01:00";"00:00"
"STO_262";"Mo-Sa";"01:00";"00:00"
"STO_263";"Mo-Sa";"01:00";"00:00"
"STO_264";"Mo-Sa";"01:00";"00:00"
"STO_265";"Mo-Sa";"01:00";"00:00"
"STO_266";"Mo-Sa";"01:00";"00:00"
"STO_267";"Mo-Sa";"01:00";"00:00"
"STO_268";"Mo-Sa";"01:00";"00:00"
"STO_269";"Mo-Sa";"06:00";"22:00"
"STO_270";"Mo-Sa";"06:00";"22:00"
"STO_271";"Mo-Sa";"06:00";"22:00"
"STO_272";"Mo-Sa";"01:00";"00:00"
"STO_273";"Mo-Sa";"01:00";"00:00"
"STO_274";"Mo-Sa";"01:00";"00:00"
"STO_275";"Mo-Sa";"06:00";"22:00"
"STO_276";"Mo-Sa";"07:00";"22:00"
"STO_277";"Mo-Sa";"01:00";"00:00"
"STO_278";"Mo-Sa";"06:00";"22:00"
"STO_279";"Mo-Sa";"01:00";"00:00"
"STO_280";"Mo-Sa";"06:00";"22:00"
"STO_281";"Mo-Sa";"01:00";"00:00"
"STO_282";"Mo-Sa";"01:00";"00:00"
"STO_283";"Mo-Sa";"01:00";"00:00"
"STO_284";"Mo-Sa";"01:00";"00:00"
"STO_285";"Mo-Sa";"01:00";"00:00"
"STO_286";"Mo-Sa";"01:00";"00:00"
"STO_287";"Mo-Sa";"01:00";"00:00"
"STO_288";"Mo-Sa";"01:00";"00:00"
"STO_289";"Mo-Sa";"01:00";"00:00"
"STO_290";"Mo-Sa";"01:00";"00:00"
"STO_291";"Mo-Sa";"01:00";"00:00"
"STO_292";"Mo-Sa";"01:00";"00:00"
"STO_293";"Mo-Sa";"06:00";"22:00"
"STO_294";"Mo-Sa";"01:00";"00:00"
"STO_295";"Mo-Sa";"06:00";"22:00"
"STO_296";"Mo-Sa";"01:00";"00:00"
"STO_297";"Mo-Sa";"01:00";"00:00"
"STO_298";"Mo-Sa";"01:00";"00:00"
"STO_299";"Mo-Sa";"06:00";"22:00"
"STO_300";"Mo-Sa";"01:00";"00:00"
"STO_301";"Mo-Sa";"01:00";"00:00"
"STO_302";"Mo-Sa";"01:00";"00:00"
"STO_303";"Mo-Sa";"01:00";"00:00"
"STO_304";"Mo-Sa";"01:00";"00:00"
"STO_305";"Mo-Sa";"01:00";"00:00"
"STO_306";"Mo-Sa";"01:00";"00:00"
"STO_307";"Mo-Sa";"01:00";"00:00"
"STO_308";"Mo-Sa";"06:00";"22:00"
"STO_309";"Mo-Sa";"01:00";"00:00"
"STO_310";"Mo-Sa";"01:00";"00:00"
"STO_311";"Mo-Sa";"01:00";"00:00"
"STO_312";"Mo-Sa";"01:00";"00:00"
"STO_313";"Mo-Sa";"01:00";"00:00"
"STO_314";"Mo-Sa";"01:00";"00:00"
