"Pseudonym";"Delivery days";"ServiceTimeFrom";"ServiceTimeTo"
"STO_375";"Mo-Sa";"06:00";"22:00"
"STO_379";"Mo-Sa";"06:00";"22:00"
"STO_382";"Mo-Sa";"06:00";"22:00"
"STO_383";"Mo-Sa";"06:00";"22:00"
"STO_384";"Mo-Sa";"06:00";"22:00"
"STO_386";"Mo-Sa";"06:00";"22:00"
"STO_388";"Mo-Sa";"06:00";"22:00"
"STO_389";"Mo-Sa";"06:00";"22:00"
"STO_392";"Mo-Sa";"06:00";"22:00"
"STO_393";"Mo-Sa";"06:00";"22:00"
"STO_396";"Mo-Sa";"06:00";"22:00"
"STO_398";"Mo-Sa";"21:00";"00:00"
"STO_402";"Mo-Sa";"06:00";"22:00"
"STO_403";"Mo-Sa";"06:00";"22:00"
"STO_404";"Mo-Sa";"06:00";"08:00"
"STO_405";"Mo-Sa";"06:00";"22:00"
"STO_408";"Mo-Sa";"06:00";"22:00"
"STO_409";"Mo-Sa";"06:00";"22:00"
"STO_412";"Mo-Sa";"06:00";"22:00"
"STO_417";"Mo-Sa";"06:00";"22:00"
"STO_418";"Mo-Sa";"06:00";"22:00"
"STO_420";"Mo-Sa";"06:00";"20:00"
"STO_421";"Mo-Sa";"06:00";"22:00"
"STO_425";"Mo-Sa";"06:00";"10:00"
"STO_427";"Mo-Sa";"06:00";"22:00"
"STO_428";"Mo-Sa";"06:00";"22:00"
"STO_429";"Mo-Sa";"06:00";"22:00"
"STO_430";"Mo-Sa";"06:00";"22:00"
"STO_435";"Mo-Sa";"06:00";"22:00"
"STO_437";"Mo-Sa";"06:00";"22:00"
"STO_441";"Mo-Sa";"06:00";"22:00"
"STO_447";"Mo-Sa";"06:00";"22:00"
"STO_449";"Mo-Sa";"07:00";"22:00"
"STO_452";"Mo-Sa";"06:00";"22:00"
"STO_456";"Mo-Sa";"06:00";"22:00"
"STO_458";"Mo-Sa";"07:00";"22:00"
"STO_462";"Mo-Sa";"06:00";"23:30"
"STO_468";"Mo-Sa";"07:00";"22:00"
"STO_470";"Mo-Sa";"06:00";"22:00"
"STO_473";"Mo-Sa";"06:00";"22:00"
"STO_480";"Mo-Sa";"06:00";"22:00"
"STO_481";"Mo-Sa";"06:00";"22:00"
"STO_482";"Mo-Sa";"06:00";"22:00"
"STO_483";"Mo-Sa";"06:00";"22:00"
"STO_484";"Mo-Sa";"06:00";"22:00"
"STO_485";"Mo-Sa";"06:00";"22:00"
"STO_486";"Mo-Sa";"06:00";"22:00"
"STO_489";"Mo-Sa";"06:00";"22:00"
"STO_492";"Mo-Sa";"06:00";"22:00"
"STO_493";"Mo-Sa";"06:00";"22:00"
"STO_494";"Mo-Sa";"06:00";"22:00"
"STO_505";"Mo-Sa";"06:00";"22:00"
"STO_507";"Mo-Sa";"06:00";"22:00"
"STO_510";"Mo-Sa";"06:00";"22:00"
"STO_512";"Mo-Sa";"06:00";"22:00"
"STO_514";"Mo-Sa";"06:00";"22:00"
"STO_516";"Mo-Sa";"06:00";"22:00"
"STO_517";"Mo-Sa";"06:00";"22:00"
"STO_518";"Mo-Sa";"06:00";"22:00"
"STO_520";"Mo-Sa";"06:00";"22:00"
"STO_521";"Mo-Sa";"06:00";"22:00"
"STO_523";"Mo-Sa";"06:00";"22:00"
"STO_527";"Mo-Sa";"06:00";"22:00"
"STO_530";"Mo-Sa";"06:00";"22:00"
"STO_537";"Mo-Sa";"07:00";"22:00"
"STO_538";"Mo-Sa";"06:00";"22:00"
"STO_539";"Mo-Sa";"06:00";"22:00"
"STO_541";"Mo-Sa";"07:00";"22:00"
"STO_542";"Mo-Sa";"06:00";"22:00"
"STO_545";"Mo-Sa";"06:00";"22:00"
"STO_546";"Mo-Sa";"05:00";"22:00"
"STO_549";"Mo-Sa";"05:00";"22:00"
"STO_551";"Mo-Sa";"06:00";"07:30"
"STO_557";"Mo-Sa";"06:00";"22:00"
"STO_559";"Mo-Sa";"06:00";"22:00"
"STO_561";"Mo-Sa";"07:00";"22:00"
"STO_569";"Mo-Sa";"06:30";"22:00"
"STO_570";"Mo-Sa";"06:00";"22:00"
"STO_571";"Mo-Sa";"06:30";"22:00"
"STO_572";"Mo-Sa";"06:30";"22:00"
"STO_573";"Mo-Sa";"07:00";"22:00"
"STO_574";"Mo-Sa";"06:30";"22:00"
"STO_575";"Mo-Sa";"07:00";"22:00"
"STO_576";"Mo-Sa";"05:00";"22:00"
"STO_578";"Mo-Sa";"06:00";"22:00"
"STO_579";"Mo-Sa";"06:00";"22:00"
"STO_580";"Mo-Sa";"06:00";"22:00"
"STO_584";"Mo-Sa";"06:00";"22:00"
"STO_586";"Mo-Sa";"06:00";"22:00"
"STO_587";"Mo-Sa";"07:00";"22:00"
"STO_594";"Mo-Sa";"06:00";"22:00"
"STO_597";"Mo-Sa";"06:00";"22:00"
"STO_611";"Mo-Sa";"06:00";"22:00"
"STO_620";"Mo-Sa";"06:00";"22:00"
"STO_622";"Mo-Sa";"06:00";"22:00"
"STO_624";"Mo-Sa";"06:00";"22:00"
"STO_625";"Mo-Sa";"06:00";"22:00"
"STO_630";"Mo-Sa";"06:00";"22:00"
"STO_636";"Mo-Sa";"06:00";"22:00"
"STO_637";"Mo-Sa";"07:00";"22:00"
"STO_638";"Mo-Sa";"06:00";"22:00"
"STO_639";"Mo-Sa";"06:00";"22:00"
"STO_640";"Mo-Sa";"06:00";"07:30"
"STO_641";"Mo-Sa";"07:00";"22:00"
"STO_643";"Mo-Sa";"06:00";"22:00"
"STO_649";"Mo-Sa";"06:00";"22:00"
"STO_656";"Mo-Sa";"07:00";"22:00"
"STO_657";"Mo-Sa";"06:00";"22:00"
"STO_661";"Mo-Sa";"06:00";"22:00"
"STO_662";"Mo-Sa";"06:00";"22:00"
"STO_667";"Mo-Sa";"06:00";"22:00"
"STO_677";"Mo-Sa";"06:00";"22:00"
"STO_678";"Mo-Sa";"00:00";"07:00"
"STO_693";"Mo-Sa";"06:00";"22:00"
"STO_694";"Mo-Sa";"06:00";"22:00"
"STO_702";"Mo-Sa";"06:00";"08:00"
"STO_705";"Mo-Sa";"06:00";"22:00"
"STO_706";"Mo-Sa";"06:00";"22:00"
"STO_707";"Mo-Sa";"06:00";"22:00"
"STO_708";"Mo-Sa";"06:00";"22:00"
"STO_722";"Mo-Sa";"06:00";"08:00"
"STO_729";"Mo-Sa";"06:00";"22:00"
"STO_731";"Mo-Sa";"05:30";"08:00"
"STO_734";"Mo-Sa";"06:00";"22:00"
